,IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
213,False,F,22,Single,Other
214,False,F,22,Single,Other
215,False,F,25,Single,Retail
216,False,F,39,Married,Other
217,False,F,28,Single,Other
218,False,F,20,Single,Student
219,False,F,46,Married,Other
220,False,F,46,Married,Other
221,False,M,22,Single,Other
222,False,F,40,Married,Other
223,False,F,27,Single,Other
224,False,F,57,Married,Retired
225,False,F,27,Single,Other
226,False,F,27,Single,Other
227,False,F,21,Single,Other
228,False,F,25,Married,Executive
229,False,M,35,Married,Other
230,False,M,39,Married,Executive
231,False,M,39,Married,Executive
232,False,F,33,Married,Hospitality
233,False,F,23,Single,Retail
234,False,F,44,Married,Other
235,False,M,31,Married,Sales
236,False,M,31,Married,Sales
237,False,F,23,Single,Retail
238,False,M,24,Single,Student
239,False,M,24,Single,Student
240,True,M,31,Single,Professional
241,False,M,31,Single,Professional
242,False,F,19,Single,Retail
243,True,M,33,Single,Other
244,False,M,33,Single,Other
245,False,M,41,Married,Other
246,False,F,25,Married,Other
247,False,F,25,Married,Other
248,False,M,43,Single,Other
249,False,M,43,Single,Other
250,False,M,43,Single,Other
251,True,M,19,Single,Other
252,False,M,19,Single,Other
253,True,M,28,Single,Sales
254,False,M,28,Single,Sales
255,True,M,27,Single,Sales
256,False,F,38,Married,Other
257,False,F,38,Married,Other
258,False,M,37,Married,Trades
259,False,F,34,Married,Other
260,False,F,34,Married,Other
261,False,F,46,Married,Executive
262,False,F,46,Married,Executive
263,False,M,41,Married,Other
264,False,M,41,Married,Other
265,False,M,44,Single,Professional
266,False,F,38,Single,Retail
267,True,F,31,Married,Hospitality
268,False,F,31,Married,Hospitality
269,False,F,27,Married,Retail
270,False,F,27,Married,Retail
271,False,F,45,Married,Other
272,False,M,24,Single,Student
273,False,M,24,Single,Student
274,False,M,39,Married,Other
275,False,M,39,Married,Other
276,False,F,28,Single,Student
277,False,F,28,Single,Student
278,False,M,32,Single,Other
279,False,M,32,Single,Other
280,False,M,32,Single,Other
281,False,F,52,Unspecified,Hospitality
282,False,M,37,Unspecified,Trades
283,False,M,29,Single,Professional
284,False,M,41,Married,Professional
285,False,F,34,Single,Retail
286,False,F,50,Married,Other
287,False,F,50,Married,Other
288,True,M,27,Single,Trades
289,False,F,27,Single,Other
290,False,M,19,Single,Professional
291,False,F,23,Married,Other
292,False,F,23,Married,Other
293,False,M,36,Married,Sales
294,False,F,27,Single,Other
295,False,F,23,Single,Hospitality
296,False,M,27,Married,Other
297,False,M,41,Married,Executive
298,False,F,28,Single,Other
299,False,F,31,Married,Professional
300,False,M,32,Married,Executive
301,False,M,32,Married,Executive
302,False,F,64,Married,Other
303,False,F,27,Single,Student
304,False,F,29,Married,Other
305,False,M,36,Married,Executive
306,False,M,35,Married,Executive
307,False,M,35,Married,Executive
308,False,M,35,Married,Executive
309,False,M,35,Married,Executive
310,False,M,35,Married,Executive
311,False,M,35,Married,Executive
312,False,F,48,Married,Retail
313,False,F,48,Married,Retail
314,True,M,34,Married,Other
315,True,M,34,Married,Other
316,True,M,22,Single,Sales
317,True,M,28,Single,Professional
318,False,F,35,Single,Professional
319,False,F,38,Married,Executive
320,False,M,39,Single,Other
321,False,F,24,Single,Student
322,False,F,31,Single,Other
323,False,M,42,Married,Other
324,False,M,42,Married,Other
325,False,F,23,Single,Hospitality
326,False,F,36,Married,Other
327,False,F,36,Married,Other
328,False,F,22,Single,Student
329,False,F,26,Single,Sales
330,False,M,31,Single,Trades
331,False,M,31,Single,Trades
332,False,F,31,Married,Other
333,False,F,49,Married,Professional
334,False,F,22,Single,Retail
335,False,M,37,Married,Other
336,False,M,25,Single,Other
337,False,M,37,Married,Trades
338,False,M,37,Married,Trades
339,False,M,43,Married,Sales
340,True,M,43,Married,Sales
341,False,M,43,Married,Sales
342,False,M,43,Single,Other
343,False,M,43,Single,Other
344,False,M,43,Single,Other
345,False,M,43,Single,Other
346,False,F,35,Married,Professional
347,False,F,35,Married,Professional
348,False,F,49,Married,Other
349,False,F,49,Married,Other
350,False,F,35,Unspecified,Hospitality
351,False,F,35,Unspecified,Hospitality
352,False,F,35,Unspecified,Hospitality
353,False,F,35,Unspecified,Hospitality
354,False,M,28,Single,Professional
355,False,M,35,Married,Other
356,False,M,26,Married,Executive
357,False,M,44,Married,Other
358,False,M,28,Married,Other
359,False,M,28,Married,Other
360,True,F,38,Married,Executive
361,False,M,22,Single,Professional
362,False,M,22,Single,Professional
363,False,M,24,Single,Retail
364,False,M,24,Single,Retail
365,False,M,24,Single,Retail
366,True,F,41,Unspecified,Hospitality
367,False,F,41,Unspecified,Hospitality
368,False,F,29,Single,Other
369,False,F,65,Unspecified,Hospitality
370,False,M,42,Married,Sales
371,False,F,40,Married,Sales
372,False,M,37,Unspecified,Trades
373,False,M,37,Unspecified,Trades
374,False,M,37,Unspecified,Trades
375,False,F,32,Married,Executive
376,False,F,21,Single,Hospitality
377,False,F,21,Single,Hospitality
378,False,M,43,Married,Sales
379,False,F,67,Married,Other
380,False,M,40,Married,Other
381,True,M,40,Married,Other
382,False,M,19,Single,Student
383,False,M,19,Single,Student
384,True,M,19,Single,Student
385,False,F,39,Married,Other
386,False,M,50,Unspecified,Other
387,False,M,50,Unspecified,Other
388,True,M,29,Single,Trades
389,False,M,29,Single,Trades
390,False,F,48,Unspecified,Hospitality
391,False,F,22,Single,Retail
392,False,F,37,Married,Other
393,True,M,23,Single,Executive
394,False,M,23,Single,Executive
395,False,F,37,Married,Professional
396,False,F,32,Married,Executive
397,False,F,32,Married,Executive
398,False,F,19,Single,Other
399,False,F,26,Single,Other
400,False,M,39,Married,Other
401,False,F,37,Married,Other
402,False,F,37,Married,Other
403,False,F,20,Married,Retail
404,False,F,51,Married,Other
405,False,F,24,Single,Professional
406,True,M,38,Single,Professional
407,False,M,38,Single,Professional
408,False,M,38,Single,Professional
409,True,M,38,Married,Trades
410,False,M,36,Married,Trades
411,False,M,36,Married,Trades
412,False,F,44,Married,Executive
413,False,F,20,Single,Other
414,False,M,31,Single,Professional
415,False,M,31,Single,Professional
416,False,F,46,Married,Hospitality
417,False,F,46,Married,Hospitality
418,False,M,32,Single,Other
419,False,M,28,Single,Trades
420,False,M,28,Single,Trades
421,False,M,28,Single,Trades
422,False,F,37,Married,Other
423,False,F,37,Married,Other
424,False,F,37,Married,Other
425,False,M,33,Single,Other
426,False,F,29,Single,Retail
427,False,M,35,Married,Other
428,False,M,35,Married,Other
429,False,F,28,Single,Professional
430,False,M,32,Married,Professional
431,False,M,31,Single,Other
432,False,M,31,Single,Other
433,False,F,22,Single,Professional
434,True,M,26,Single,Sales
435,True,M,44,Married,Trades
436,False,M,30,Married,Professional
437,False,F,28,Single,Retail
438,False,F,28,Married,Executive
439,True,M,29,Single,Other
440,False,M,29,Single,Other
441,False,M,35,Married,Sales
442,False,M,40,Married,Other
443,False,M,40,Married,Other
444,False,M,21,Single,Student
445,True,M,29,Single,Professional
446,False,M,40,Married,Other
447,False,M,46,Married,Professional
448,False,M,46,Married,Professional
449,False,M,46,Married,Professional
450,False,M,31,Unspecified,Professional
451,True,M,22,Single,Sales
452,False,M,22,Single,Sales
453,False,F,35,Married,Professional
454,False,F,32,Married,Executive
455,True,M,39,Married,Other
456,False,M,39,Married,Other
457,True,M,19,Single,Sales
458,False,F,26,Single,Other
459,False,M,42,Married,Other
460,True,M,42,Married,Other
461,False,F,41,Married,Other
462,False,F,41,Married,Other
463,True,M,24,Single,Other
464,False,F,48,Married,Other
465,False,M,41,Married,Professional
466,False,M,41,Married,Professional
467,False,F,46,Married,Other
468,False,F,39,Married,Other
469,False,F,20,Single,Other
470,True,F,19,Single,Other
471,False,F,42,Married,Sales
472,False,F,32,Married,Professional
473,False,F,21,Single,Other
474,False,M,25,Single,Other
475,False,M,25,Single,Other
476,False,F,48,Married,Professional
477,True,M,30,Single,Other
478,False,M,30,Single,Other
479,False,M,27,Single,Professional
480,False,M,49,Married,Professional
481,False,M,49,Married,Professional
482,False,M,49,Married,Professional
483,False,M,40,Married,Other
484,False,F,38,Unspecified,Hospitality
485,False,F,38,Unspecified,Hospitality
486,False,M,55,Unspecified,Other
487,False,M,55,Unspecified,Other
488,True,M,21,Single,Sales
489,False,M,21,Single,Sales
490,False,F,57,Married,Other
491,False,F,57,Married,Other
492,False,F,57,Married,Other
493,False,F,24,Single,Sales
494,False,F,34,Married,Executive
495,False,F,34,Married,Executive
496,False,F,34,Married,Executive
497,False,M,34,Married,Executive
498,True,M,34,Married,Executive
499,False,F,28,Single,Sales
500,True,M,29,Single,Sales
501,True,F,21,Married,Retail
502,False,F,21,Married,Retail
503,False,F,21,Married,Retail
504,False,F,39,Married,Other
505,False,F,39,Married,Other
506,False,F,39,Married,Other
507,False,F,39,Married,Other
508,False,M,34,Single,Trades
509,False,M,34,Single,Trades
510,False,M,34,Married,Other
511,False,F,34,Married,Executive
512,False,F,26,Married,Other
513,False,F,26,Married,Other
514,False,F,37,Single,Other
515,False,F,29,Single,Other
516,False,M,19,Single,Professional
517,False,M,41,Married,Other
518,False,M,41,Married,Other
519,False,M,41,Married,Other
520,False,F,27,Single,Professional
521,True,M,33,Single,Trades
522,False,F,38,Single,Other
523,False,F,44,Married,Other
524,False,F,40,Married,Other
525,False,F,40,Married,Other
526,False,F,40,Married,Other
527,False,F,40,Married,Other
528,False,M,31,Married,Trades
529,False,M,32,Married,Executive
530,False,M,35,Married,Other
531,False,M,35,Married,Other
532,False,F,18,Single,Professional
533,False,M,40,Married,Other
534,False,M,40,Married,Other
535,False,M,40,Married,Other
536,False,M,57,Married,Trades
537,False,M,57,Married,Trades
538,False,M,20,Single,Other
539,False,F,27,Single,Other
540,False,F,51,Married,Other
541,False,F,33,Single,Professional
542,False,F,21,Single,Professional
543,False,M,25,Single,Other
544,True,F,32,Married,Other
545,False,F,32,Married,Other
546,False,F,32,Married,Other
547,False,F,22,Married,Other
548,False,F,26,Single,Other
549,False,M,22,Single,Sales
550,False,M,22,Single,Sales
551,False,M,25,Single,Student
552,False,M,25,Single,Student
553,False,M,25,Single,Student
554,False,F,26,Married,Other
555,False,F,26,Married,Other
556,False,F,62,Married,Other
557,True,M,21,Single,Trades
558,False,M,21,Single,Trades
559,False,F,31,Married,Hospitality
560,False,F,31,Married,Hospitality
561,False,M,19,Single,Professional
562,False,M,19,Single,Professional
563,False,F,25,Single,Other
564,False,F,25,Single,Other
565,False,F,35,Single,Professional
566,True,M,28,Single,Sales
567,False,M,28,Single,Sales
568,True,M,24,Single,Other
569,False,F,37,Married,Other
570,False,M,36,Married,Professional
571,False,M,36,Married,Professional
572,False,M,36,Married,Professional
573,True,M,40,Married,Other
574,False,M,40,Married,Other
575,False,M,37,Married,Other
576,False,F,67,Married,Other
577,False,M,24,Single,Other
578,False,M,24,Single,Other
579,False,F,23,Single,Other
580,False,M,34,Married,Sales
581,False,M,19,Single,Other
582,False,F,37,Single,Retail
583,False,F,20,Single,Other
584,False,F,38,Married,Professional
585,False,F,25,Single,Other
586,False,F,27,Single,Professional
587,True,M,33,Married,Other
588,True,M,33,Married,Other
589,False,M,33,Married,Other
590,False,F,20,Single,Other
591,False,M,31,Single,Other
592,False,M,42,Married,Other
593,False,M,21,Single,Student
594,False,M,48,Unspecified,Other
595,False,M,48,Unspecified,Other
596,False,M,48,Unspecified,Other
597,False,F,49,Married,Other
598,False,F,49,Married,Hospitality
599,False,F,38,Married,Executive
600,False,F,38,Married,Executive
601,True,M,31,Single,Professional
602,False,F,24,Single,Other
603,False,F,24,Single,Other
604,False,F,24,Single,Other
605,False,F,24,Single,Other
606,True,M,25,Single,Other
607,False,M,25,Single,Other
608,False,M,19,Single,Student
609,False,M,30,Married,Other
610,False,M,30,Married,Other
611,False,M,44,Single,Other
612,False,F,26,Single,Other
613,False,F,36,Married,Other
614,False,M,42,Single,Other
615,False,M,42,Single,Other
616,False,F,38,Married,Executive
617,False,M,39,Married,Sales
618,False,F,45,Married,Hospitality
619,True,F,20,Single,Other
620,True,F,33,Married,Other
621,False,F,47,Married,Retired
622,False,F,34,Married,Retail
623,False,M,40,Married,Trades
624,False,F,25,Married,Professional
625,False,F,25,Single,Professional
626,True,M,19,Single,Professional
627,False,M,19,Single,Professional
628,True,M,27,Married,Professional
629,False,F,47,Unspecified,Hospitality
630,False,M,40,Married,Trades
631,False,M,40,Married,Trades
632,False,M,40,Married,Trades
633,False,M,29,Married,Professional
634,False,F,19,Single,Student
635,False,M,34,Single,Professional
636,False,M,34,Single,Professional
637,True,F,46,Married,Executive
638,False,F,46,Married,Executive
639,False,F,52,Married,Other
640,False,M,38,Married,Executive
641,False,M,38,Married,Executive
642,False,M,43,Single,Sales
643,False,F,30,Married,Hospitality
644,False,F,31,Married,Other
645,False,F,31,Married,Other
646,False,F,31,Married,Other
647,False,M,24,Single,Professional
648,False,F,29,Single,Hospitality
649,False,F,39,Unspecified,Other
650,False,F,39,Unspecified,Other
651,False,F,39,Unspecified,Other
652,False,F,62,Married,Other
653,False,F,29,Single,Professional
654,False,F,51,Married,Other
655,False,F,52,Married,Other
656,False,F,52,Married,Other
657,False,F,46,Married,Other
658,False,F,46,Married,Other
659,True,M,22,Single,Professional
660,False,F,52,Married,Other
661,True,M,23,Single,Professional
662,False,M,29,Single,Trades
663,False,M,40,Married,Sales
664,False,M,37,Married,Sales
665,False,M,37,Married,Sales
666,False,M,40,Married,Sales
667,False,M,56,Married,Other
668,False,M,27,Single,Professional
669,False,M,27,Single,Professional
670,False,F,52,Married,Other
671,False,F,27,Single,Professional
672,False,M,20,Single,Trades
673,False,M,44,Married,Trades
674,False,M,44,Married,Trades
675,False,M,40,Married,Trades
676,True,M,38,Married,Sales
677,False,M,19,Single,Sales
678,False,M,19,Single,Sales
679,False,M,24,Single,Student
680,False,F,48,Married,Other
681,False,F,27,Single,Student
682,False,F,27,Single,Student
683,False,F,27,Single,Student
684,False,F,27,Single,Student
685,False,F,39,Single,Other
686,False,M,33,Married,Professional
687,False,M,33,Married,Professional
688,False,F,27,Married,Sales
689,False,M,26,Married,Other
690,False,M,33,Married,Other
691,True,M,34,Married,Sales
692,False,M,39,Married,Sales
693,False,F,42,Married,Other
694,False,M,28,Single,Professional
695,False,M,23,Single,Student
696,True,F,41,Married,Executive
697,False,F,41,Married,Executive
698,False,F,46,Married,Other
699,False,F,66,Unspecified,Hospitality
700,False,F,66,Unspecified,Hospitality
701,False,M,43,Married,Other
702,False,M,43,Married,Other
703,False,F,37,Married,Executive
704,False,M,43,Married,Other
705,False,M,21,Single,Student
706,False,M,42,Married,Other
707,True,M,27,Single,Trades
708,True,M,20,Single,Other
709,False,M,20,Single,Other
710,True,M,28,Single,Professional
711,False,M,31,Married,Trades
712,False,M,26,Single,Other
713,False,M,23,Single,Sales
714,False,F,35,Married,Other
715,False,F,35,Married,Other
716,False,M,58,Married,Other
717,False,F,49,Married,Other
718,False,F,41,Married,Retired
719,False,F,63,Married,Retired
720,False,F,38,Married,Other
721,False,F,30,Married,Hospitality
722,True,F,27,Single,Other
723,False,F,27,Single,Other
724,False,M,33,Married,Sales
725,False,M,33,Married,Sales
726,False,M,44,Married,Other
727,True,M,24,Single,Other
728,False,M,24,Single,Other
729,False,F,44,Married,Other
730,False,F,44,Married,Other
731,False,F,35,Married,Executive
732,True,M,24,Single,Other
733,False,M,24,Single,Other
734,True,M,44,Married,Trades
735,True,M,44,Married,Trades
736,False,M,44,Married,Trades
737,True,F,25,Single,Other
738,True,F,25,Single,Other
739,False,F,25,Single,Other
740,False,F,25,Single,Other
741,False,M,41,Single,Sales
742,False,M,41,Single,Sales
743,False,M,41,Single,Sales
744,False,M,41,Single,Sales
745,False,M,41,Single,Sales
746,False,M,41,Single,Sales
747,False,M,40,Married,Professional
748,False,F,39,Married,Executive
749,False,M,40,Married,Executive
750,False,M,40,Married,Executive
751,True,F,43,Married,Other
752,False,F,43,Married,Other
753,False,M,40,Married,Professional
754,False,M,24,Single,Student
755,False,M,39,Single,Executive
756,False,F,29,Single,Professional
757,False,F,29,Single,Professional
758,False,F,26,Single,Student
759,False,M,27,Single,Trades
760,False,M,27,Single,Trades
761,False,M,27,Single,Trades
762,True,M,22,Single,Trades
763,False,F,37,Married,Executive
764,False,M,33,Married,Executive
765,False,F,25,Single,Retail
766,False,M,33,Married,Executive
767,False,M,43,Married,Executive
768,False,M,42,Married,Executive
769,False,M,25,Married,Other
770,False,M,25,Married,Other
771,True,M,24,Single,Trades
772,False,M,24,Single,Trades
773,False,F,38,Married,Executive
774,False,F,28,Single,Professional
775,False,F,37,Single,Other
776,False,M,36,Single,Executive
777,False,M,36,Single,Executive
778,False,F,29,Single,Retail
779,False,F,29,Single,Retail
780,False,F,38,Married,Sales
781,False,M,31,Married,Other
782,False,M,34,Married,Other
783,False,F,47,Married,Other
784,False,F,47,Married,Other
785,False,F,26,Married,Retail
786,False,F,47,Married,Professional
787,False,M,41,Married,Professional
788,False,F,44,Married,Other
789,False,F,31,Married,Other
790,False,F,31,Married,Other
791,False,F,23,Single,Student
792,False,F,42,Unspecified,Hospitality
793,False,F,44,Unspecified,Hospitality
794,False,F,44,Unspecified,Hospitality
795,False,M,46,Married,Professional
796,False,M,46,Married,Professional
797,False,M,58,Married,Professional
798,False,M,58,Married,Professional
799,True,M,28,Single,Other
800,False,F,42,Married,Other
801,False,F,42,Married,Other
802,False,M,41,Married,Other
803,False,M,41,Married,Other
804,False,F,27,Single,Professional
805,False,F,65,Married,Retired
806,False,F,37,Single,Other
807,True,M,30,Married,Other
808,False,F,37,Married,Professional
809,False,F,37,Married,Professional
810,False,F,28,Single,Professional
811,True,M,20,Single,Trades
812,False,M,20,Single,Trades
813,False,M,55,Married,Other
814,False,M,55,Married,Other
815,False,M,55,Married,Other
816,False,M,40,Married,Executive
817,True,M,22,Single,Other
818,False,F,25,Married,Other
819,False,M,43,Married,Other
820,False,F,24,Single,Other
821,False,M,41,Single,Other
822,False,M,41,Single,Other
823,False,F,36,Married,Other
824,False,F,36,Married,Other
825,False,M,24,Single,Retail
826,False,M,24,Single,Retail
827,False,M,24,Single,Retail
828,True,M,21,Single,Sales
829,False,M,21,Single,Sales
830,False,M,41,Married,Trades
831,False,F,26,Single,Student
832,False,M,49,Married,Retired
833,False,M,49,Married,Retired
834,False,M,33,Married,Other
835,False,M,33,Married,Other
836,False,M,58,Married,Trades
837,False,M,58,Married,Trades
838,False,M,36,Married,Professional
839,False,M,48,Married,Trades
840,False,M,48,Married,Trades
841,False,F,19,Single,Other
842,False,F,25,Single,Other
843,False,M,55,Unspecified,Other
844,False,M,55,Unspecified,Other
845,False,M,55,Unspecified,Other
846,False,F,43,Unspecified,Hospitality
847,False,M,20,Single,Sales
848,False,F,41,Married,Professional
849,False,M,21,Single,Other
850,False,M,46,Married,Trades
851,False,F,32,Married,Other
852,False,M,26,Single,Other
853,False,F,20,Single,Other
854,False,F,19,Single,Hospitality
855,False,F,19,Single,Hospitality
856,True,F,19,Single,Hospitality
857,False,F,19,Single,Hospitality
858,False,M,59,Married,Other
859,False,M,45,Unspecified,Trades
860,False,F,45,Married,Executive
861,True,M,40,Married,Executive
862,False,M,40,Married,Executive
863,True,M,41,Married,Executive
864,False,M,41,Married,Executive
865,False,F,30,Married,Professional
866,False,F,30,Married,Professional
867,False,F,26,Married,Sales
868,False,F,26,Married,Sales
869,False,M,26,Single,Trades
870,True,M,29,Single,Other
871,False,F,34,Single,Professional
872,False,F,20,Single,Professional
873,False,F,30,Married,Executive
874,False,F,30,Married,Executive
875,True,M,30,Married,Other
876,False,F,25,Single,Professional
877,False,F,25,Single,Professional
878,False,F,25,Single,Professional
879,False,F,45,Married,Hospitality
880,False,F,45,Married,Hospitality
881,False,F,45,Married,Hospitality
882,False,M,37,Married,Executive
883,False,M,37,Married,Executive
884,True,M,37,Married,Executive
885,False,M,37,Married,Executive
886,False,F,38,Married,Other
887,False,F,28,Married,Executive
888,False,F,35,Single,Other
889,False,F,61,Married,Other
890,False,F,61,Married,Other
891,True,M,20,Single,Other
892,False,M,20,Single,Other
893,False,F,29,Single,Professional
894,False,F,22,Single,Other
895,False,F,37,Single,Other
896,True,M,24,Single,Executive
897,False,M,24,Single,Executive
898,False,M,26,Married,Sales
899,False,M,27,Single,Other
900,False,F,43,Married,Professional
901,False,F,59,Married,Other
902,False,F,41,Married,Professional
903,False,F,41,Married,Professional
904,False,F,30,Married,Other
905,True,F,30,Married,Other
906,False,F,30,Married,Other
907,False,F,30,Married,Other
908,True,M,30,Married,Other
909,True,M,25,Single,Professional
910,False,M,25,Single,Professional
911,False,M,42,Married,Sales
912,False,F,45,Married,Professional
913,False,F,38,Unspecified,Hospitality
914,False,F,34,Married,Other
915,True,M,20,Single,Trades
916,False,M,20,Single,Trades
917,False,F,33,Single,Other
918,False,F,31,Married,Executive
919,False,F,31,Married,Executive
920,False,M,28,Single,Trades
921,False,M,35,Married,Trades
922,False,M,35,Married,Trades
923,False,M,40,Married,Other
924,False,M,40,Married,Other
925,False,M,26,Married,Other
926,False,M,25,Married,Other
927,False,F,33,Married,Other
928,False,F,43,Married,Professional
929,False,M,31,Single,Other
930,False,M,37,Single,Professional
931,False,M,29,Single,Retail
932,False,M,19,Single,Retail
933,False,F,59,Married,Other
934,False,M,40,Married,Sales
935,False,M,40,Married,Sales
936,False,M,36,Married,Other
937,False,F,44,Unspecified,Hospitality
